Experiment,SRAStudy
SRX080355,SRP007362
SRX080356,SRP007362
SRX080357,SRP007362
SRX080358,SRP007362
SRX080359,SRP007362
SRX080362,SRP007362
SRX080367,SRP007362
SRX080368,SRP007362
SRX080369,SRP007362
SRX080370,SRP007362
SRX080371,SRP007362
SRX080373,SRP007362
SRX080374,SRP007362
SRX080375,SRP007362
SRX080377,SRP007362
SRX080378,SRP007362
SRX080380,SRP007362
SRX080386,SRP007362
SRX080388,SRP007362
SRX080389,SRP007362
SRX080390,SRP007362
SRX080391,SRP007362
SRX080392,SRP007362
SRX080393,SRP007362
SRX080395,SRP007362
SRX080396,SRP007362
SRX080398,SRP007362
SRX080399,SRP007362
SRX080400,SRP007362
SRX080402,SRP007362
SRX080403,SRP007362
SRX080404,SRP007362
SRX080406,SRP007362
SRX080408,SRP007362
SRX080410,SRP007362
SRX080411,SRP007362
SRX080412,SRP007362
SRX080413,SRP007362
SRX080414,SRP007362
SRX080415,SRP007362
SRX080416,SRP007362
SRX080420,SRP007362
SRX080422,SRP007362
SRX080425,SRP007362
SRX080427,SRP007362
SRX080431,SRP007362
SRX080432,SRP007362
SRX080442,SRP007362
SRX082162,SRP007418
SRX082162,SRP007418
SRX082163,SRP007418
SRX082163,SRP007418
SRX082164,SRP007418
SRX082164,SRP007418
SRX082165,SRP007418
SRX082165,SRP007418
SRX083216,SRP007486
SRX083217,SRP007486
SRX083218,SRP007486
SRX083219,SRP007486
SRX095407,SRP008016
SRX095407,SRP008016
SRX095408,SRP008016
SRX095408,SRP008016
SRX092452,SRP007874
SRX092453,SRP007874
SRX084521,SRP007519
SRX084522,SRP007519
SRX084525,SRP007519
SRX084526,SRP007519
SRX083220,SRP007486
SRX083221,SRP007486
SRX083222,SRP007486
SRX083223,SRP007486
SRX083228,SRP007486
SRX083229,SRP007486
SRX084500,SRP002216
SRX084501,SRP002216
SRX084502,SRP002216
SRX084503,SRP002216
SRX095393,SRP008015
SRX095394,SRP008015
SRX095395,SRP008015
SRX095396,SRP008015
SRX095397,SRP008015
SRX084584,SRP007528
SRX084599,SRP007525
SRX084601,SRP007525
SRX093540,SRP007960
SRX093541,SRP007960
SRX092447,SRP007871
SRX092448,SRP007871
SRX092313,SRP007861
SRX092314,SRP007861
SRX092315,SRP007861
SRX092299,SRP007860
SRX092299,SRP007860
SRX092300,SRP007860
SRX092300,SRP007860
SRX092301,SRP007860
SRX092301,SRP007860
SRX092301,SRP007860
SRX092302,SRP007860
SRX092302,SRP007860
SRX092303,SRP007860
SRX092303,SRP007860
SRX092306,SRP007860
SRX092306,SRP007860
SRX092306,SRP007860
SRX092568,SRP007893
SRX092568,SRP007893
SRX092568,SRP007893
SRX092568,SRP007893
SRX092568,SRP007893
SRX092568,SRP007893
SRX092569,SRP007893
SRX092573,SRP007893
SRX092574,SRP007893
SRX092575,SRP007893
SRX092576,SRP007893
SRX094468,SRP007993
SRX094468,SRP007993
SRX094469,SRP007993
SRX094469,SRP007993
SRX094470,SRP007993
SRX094470,SRP007993
SRX092414,SRP007867
SRX092416,SRP007867
SRX093319,SRP007953
SRX093183,SRP007945
SRX093183,SRP007945
SRX093183,SRP007945
SRX093183,SRP007945
SRX093183,SRP007945
SRX093183,SRP007945
SRX093184,SRP007945
SRX093189,SRP007945
SRX093189,SRP007945
SRX093189,SRP007945
SRX093189,SRP007945
SRX093189,SRP007945
SRX093189,SRP007945
SRX093190,SRP007945
SRX093190,SRP007945
SRX093190,SRP007945
SRX093190,SRP007945
SRX093191,SRP007945
SRX093192,SRP007945
